LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,TotalBsmtSF,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageCars,GrLivArea,SalePrice
10112,CollgCr,Twnhs,1Story,6,1912,1932,TA,191,3,4,Gd,1,3,1694,256876
8705,OldTown,Twnhs,SLvl,10,1885,1887,Gd,773,2,4,Gd,0,4,2499,342342
25545,Edwards,1Fam,1Story,8,1959,1960,TA,687,2,4,TA,1,2,2013,306867
11046,OldTown,1Fam,SLvl,7,1971,1971,Gd,1121,1,3,Gd,1,2,1212,254209
19856,CollgCr,2fmCon,2Story,5,1976,1985,Gd,1098,2,4,TA,1,2,1043,234322
3552,SawyerW,Twnhs,1Story,5,1938,1956,Ex,1216,2,3,TA,0,4,1773,285371
14869,SawyerW,1Fam,1.5Fin,3,1938,1954,Ex,752,2,2,TA,1,2,821,195315
6920,NAmes,TwnhsE,2Story,9,1927,1938,Gd,1280,2,3,Gd,2,2,2476,347239
6865,Edwards,1Fam,1Story,7,1892,1892,Gd,365,2,3,TA,1,3,2134,292396
8741,Edwards,1Fam,2Story,8,1986,1997,TA,248,2,3,Gd,1,0,1268,233025
4854,CollgCr,TwnhsE,SLvl,2,1924,1940,TA,22,1,4,TA,1,0,615,82721
12349,Gilbert,1Fam,1Story,10,1968,1991,Gd,830,3,3,Gd,1,2,2225,354754
10887,Sawyer,Duplex,1Story,8,1979,1981,Gd,718,2,3,TA,1,3,1454,284083
11306,SawyerW,1Fam,2Story,5,1886,1896,Gd,1397,2,1,Gd,0,2,2164,269639
15421,NWAmes,1Fam,2Story,5,1924,1940,Gd,764,2,3,TA,0,2,677,169952
21107,NridgHt,1Fam,1.5Fin,5,1937,1959,TA,1170,1,4,TA,1,2,1200,250582
8251,Sawyer,1Fam,2Story,6,1910,1935,TA,1407,2,1,TA,0,2,1517,235643
12565,OldTown,1Fam,1Story,7,1902,1904,Gd,748,2,3,Gd,1,2,1539,252345
11458,Gilbert,1Fam,SLvl,6,1986,1993,Gd,1181,2,3,TA,0,2,1278,259995
11953,Somerst,1Fam,1Story,6,1918,1937,Ex,1490,3,2,TA,1,2,1841,312192
12043,CollgCr,1Fam,1Story,7,1961,1964,Gd,505,2,3,Gd,0,2,954,230143
21922,OldTown,1Fam,2Story,4,1979,1999,TA,1060,1,3,Gd,0,2,1440,208911
7864,OldTown,TwnhsE,2Story,6,1881,1902,Gd,749,2,4,Gd,2,2,1578,235295
4615,SawyerW,1Fam,1Story,6,1956,1962,TA,533,2,4,Ex,2,3,1785,250507
6981,CollgCr,1Fam,2Story,7,1891,1904,TA,373,1,3,TA,1,0,1888,231715
14452,OldTown,1Fam,1Story,8,1918,1931,TA,526,1,6,Fa,0,3,924,213791
10013,Edwards,1Fam,1Story,5,1892,1895,TA,1076,0,3,Gd,1,3,709,174616
7833,Sawyer,1Fam,1.5Fin,7,1925,1940,TA,341,0,3,TA,1,2,2185,248519
5777,NAmes,1Fam,1Story,7,1992,2015,Ex,807,2,6,Fa,1,2,1689,287777
11055,SawyerW,1Fam,1Story,3,1896,1924,TA,1407,2,3,Gd,0,2,1122,207920
13660,SawyerW,1Fam,1Story,7,1983,2004,TA,1247,1,5,TA,1,2,2329,308889
11532,Gilbert,TwnhsE,SLvl,5,1977,2006,Ex,816,2,2,TA,1,2,1575,271364
